	Abiotrophia	Acetanaerobacterium	Acetatifactor	Acetitomaculum	Acidaminococcus	Acinetobacter	Actinomyces	Aeromonas	Aestuariispira	Akkermansia	Alistipes	Allisonella	Allobaculum	Alloprevotella	Alloscardovia	Anaerococcus	Anaerofilum	Anaerofustis	Anaeroglobus	Anaerophaga	Anaerosporobacter	Anaerostipes	Anaerotruncus	Anaerovorax	Aquabacterium	Arcanobacterium	Atopobium	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Brachyspira	Brevibacterium	Butyricicoccus	Butyricimonas	Butyrivibrio	Campylobacter	Carnobacterium	Catabacter	Catenibacterium	Cerasicoccus	Christensenella	Citrobacter	Cloacibacillus	Clostridium_III	Clostridium_IV	Clostridium_XI	Clostridium_XVIII	Clostridium_XlVa	Clostridium_XlVb	Clostridium_sensu_stricto	Collinsella	Coprobacillus	Coprobacter	Coprococcus	Corynebacterium	Desulfovibrio	Dialister	Dolosigranulum	Dorea	Dysgonomonas	Eggerthella	Eggerthia	Eisenbergiella	Elusimicrobium	Enterobacter	Enterococcus	Enterorhabdus	EscherichiaShigella	Eubacterium	Faecalibacterium	Faecalicoccus	Faecalitalea	Finegoldia	Flavonifractor	Fretibacterium	Fusicatenibacter	Fusobacterium	Gemella	Gemmiger	Gordonibacter	Haemophilus	Helicobacter	Herbaspirillum	Holdemanella	Holdemania	Howardella	Hungatella	Hydrogenoanaerobacterium	Intestinibacter	Intestinimonas	Kingella	Lachnoanaerobaculum	Lactobacillus	Lactococcus	Lactonifactor	Leptotrichia	Leuconostoc	Mannheimia	Massilia	Megamonas	Megasphaera	Methanobrevibacter	Methanomassiliicoccus	Methanosphaera	Mitsuokella	Mogibacterium	Morganella	Moryella	Neisseria	Odoribacter	Olsenella	Oribacterium	Oscillibacter	Oxalobacter	Parabacteroides	Paraeggerthella	Paraprevotella	Parasutterella	Parvimonas	Pediococcus	Peptococcus	Peptoniphilus	Peptostreptococcus	Phascolarctobacterium	Porphyromonas	Prevotella	Propionispira	Proteus	Providencia	Pseudobutyrivibrio	Pseudoflavonifractor	Pseudomonas	Pseudoramibacter	Pyramidobacter	Romboutsia	Roseburia	Rothia	Ruminococcus	Ruminococcus2	Salmonella	Scardovia	Senegalimassilia	Slackia	Solobacterium	Sphaerochaeta	Sporobacter	Staphylococcus	Stomatobaculum	Streptococcus	Streptophyta	Subdoligranulum	Succinatimonas	Succiniclasticum	Succinivibrio	Sutterella	Terrisporobacter	Treponema	Turicibacter	Ureaplasma	Veillonella	Victivallis	Weissella	Yersinia	unclassified_Acetobacteraceae	unclassified_Acidaminococcaceae	unclassified_Aerococcaceae	unclassified_Alteromonadales	unclassified_Anaerolineaceae	unclassified_Anaeroplasmataceae	unclassified_Anaplasmataceae	unclassified_Bacillaceae	unclassified_Bacillales	unclassified_Bacteroidaceae	unclassified_Bacteroidales	unclassified_Bdellovibrionaceae	unclassified_Beijerinckiaceae	unclassified_Beutenbergiaceae	unclassified_Bifidobacteriaceae	unclassified_Blastocatella	unclassified_Bradymonadaceae	unclassified_Bryobacter	unclassified_Burkholderiales	unclassified_Candidatus	unclassified_Carnobacteriaceae	unclassified_Catabacteriaceae	unclassified_Chitinivibrionaceae	unclassified_Chloroplast	unclassified_Christensenellaceae	unclassified_Chromatiaceae	unclassified_Clostridiaceae	unclassified_Clostridiales	unclassified_Comamonadaceae	unclassified_Coriobacteriaceae	unclassified_Corynebacteriaceae	unclassified_Cryomorphaceae	unclassified_Cyclobacteriaceae	unclassified_Cytophagaceae	unclassified_Defluviitaleaceae	unclassified_Dehalococcoidaceae	unclassified_Desulfobacteraceae	unclassified_Desulfobulbaceae	unclassified_Desulfohalobiaceae	unclassified_Desulfomicrobiaceae	unclassified_Desulfovibrionaceae	unclassified_Ectothiorhodospiraceae	unclassified_Elioraea	unclassified_Enterobacteriaceae	unclassified_Enterococcaceae	unclassified_Erysipelotrichaceae	unclassified_Eubacteriaceae	unclassified_Ferroplasmaceae	unclassified_Ferrovaceae	unclassified_Flammeovirgaceae	unclassified_Flavobacteriaceae	unclassified_Fusobacteriaceae	unclassified_Geminicoccus	unclassified_Gracilibacteraceae	unclassified_Halanaerobiaceae	unclassified_Halobacteriaceae	unclassified_Halobacteroidaceae	unclassified_Halomonadaceae	unclassified_Haloplasmataceae	unclassified_Halothiobacillaceae	unclassified_Heliobacteriaceae	unclassified_Hyphomonadaceae	unclassified_Ignavibacteriaceae	unclassified_Kiloniellaceae	unclassified_Kofleriaceae	unclassified_Lachnospiraceae	unclassified_Lactobacillaceae	unclassified_Leptospiraceae	unclassified_Leptotrichiaceae	unclassified_Marinilabiliaceae	unclassified_Marinimicrobia	unclassified_Mariprofundaceae	unclassified_Methanobacteriaceae	unclassified_Methanomassiliicoccaceae	unclassified_Methanoregulaceae	unclassified_Methanosarcinaceae	unclassified_Methylococcaceae	unclassified_Microbacteriaceae	unclassified_Nannocystaceae	unclassified_Natranaerobiaceae	unclassified_Natranaerovirga	unclassified_Neisseriaceae	unclassified_Oceanospirillaceae	unclassified_Oleiphilaceae	unclassified_Oligoflexaceae	unclassified_Oligosphaeraceae	unclassified_Opitutaceae	unclassified_Oxalobacteraceae	unclassified_Pacearchaeota	unclassified_Paenibacillaceae	unclassified_Pasteurellaceae	unclassified_Peptococcaceae	unclassified_Peptoniphilaceae	unclassified_Peptostreptococcaceae	unclassified_Petrotogaceae	unclassified_Planctomycetaceae	unclassified_Planococcaceae	unclassified_Porphyromonadaceae	unclassified_Prevotellaceae	unclassified_Prolixibacteraceae	unclassified_Proteinivoraceae	unclassified_Pseudobacteriovoracaceae	unclassified_Puniceicoccaceae	unclassified_Rhodobacteraceae	unclassified_Rhodobiaceae	unclassified_Rhodocyclaceae	unclassified_Rhodospirillaceae	unclassified_Rickettsiaceae	unclassified_Rikenellaceae	unclassified_Ruminococcaceae	unclassified_Saprospiraceae	unclassified_Simkaniaceae	unclassified_Sinobacteraceae	unclassified_Sphingobacteriaceae	unclassified_Spirochaetaceae	unclassified_Sporolactobacillaceae	unclassified_Staphylococcaceae	unclassified_Streptococcaceae	unclassified_Succinivibrionaceae	unclassified_Sulfolobaceae	unclassified_Sutterellaceae	unclassified_Synergistaceae	unclassified_Syntrophaceae	unclassified_Syntrophobacteraceae	unclassified_Syntrophomonadaceae	unclassified_Syntrophorhabdaceae	unclassified_Thermoactinomycetaceae	unclassified_Thermoanaerobacteraceae	unclassified_Thermodesulfobacteriaceae	unclassified_Thermoplasmatales	unclassified_Thermotogaceae	unclassified_Vallitalea	unclassified_Veillonellaceae	unclassified_Verrucomicrobiaceae	unclassified_Victivallaceae	unclassified_Vulgatibacteraceae	unclassified_Woesearchaeota	unclassified_Xanthomonadaceae
DC60	0	0	0	0	46268455.4556454	0	46268455.4556454	0	0	92536910.9112907	1897006673.68146	0	0	2914912693.70566	0	0	0	0	0	0	0	12307409151.2017	0	0	0	0	0	5505946199.2218	231342277.278227	46268455.4556454	185073821.822581	4256697901.91937	0	0	2591033505.51614	231342277.278227	0	0	0	0	0	0	0	0	0	0	740295287.290326	0	46268455.4556454	231342277.278227	92536910.9112907	231342277.278227	462684554.556454	0	46268455.4556454	5598483110.13309	0	185073821.822581	0	0	740295287.290326	0	0	0	0	0	0	46268455.4556454	0	0	0	23689449193.2904	0	0	0	46268455.4556454	0	5089530100.12099	0	0	925369109.112907	0	46268455.4556454	0	0	0	0	323879188.189518	0	0	46268455.4556454	46268455.4556454	46268455.4556454	0	92536910.9112907	0	0	0	0	0	0	0	46268455.4556454	185073821.822581	0	0	0	0	0	0	46268455.4556454	601489920.92339	0	0	1526859030.0363	0	971637564.568553	0	925369109.112907	1017906020.0242	46268455.4556454	0	0	0	0	1758201307.31452	0	62323609498.7543	0	0	0	0	46268455.4556454	0	0	0	0	14528295013.0726	0	2591033505.51614	2729838871.88308	0	0	46268455.4556454	416416099.100808	0	0	0	0	0	138805366.366936	46268455.4556454	0	0	46268455.4556454	0	46268455.4556454	0	0	46268455.4556454	0	46268455.4556454	92536910.9112907	0	0	0	0	0	185073821.822581	0	92536910.9112907	0	0	0	0	0	92536910.9112907	0	0	0	0	0	0	0	0	0	46268455.4556454	0	0	416416099.100808	0	277610732.733872	277610732.733872	0	1017906020.0242	0	0	0	0	92536910.9112907	0	0	0	0	46268455.4556454	0	0	0	185073821.822581	0	1850738218.22581	185073821.822581	0	0	0	92536910.9112907	0	0	92536910.9112907	0	0	0	0	0	0	0	0	0	0	0	25493918956.0606	0	0	0	92536910.9112907	0	0	0	0	0	0	0	0	0	92536910.9112907	0	0	0	0	0	0	0	46268455.4556454	0	0	138805366.366936	46268455.4556454	0	46268455.4556454	0	0	0	2498496594.60485	647758376.379035	0	0	0	323879188.189518	0	0	0	92536910.9112907	0	323879188.189518	22625274717.8106	0	0	0	46268455.4556454	0	46268455.4556454	0	0	0	0	138805366.366936	46268455.4556454	0	0	0	0	46268455.4556454	0	0	0	0	0	138805366.366936	0	0	0	0	0
DC61	0	0	0	0	46272259.460481	0	0	0	0	1480712302.73539	10226169340.7663	0	0	46272259.460481	0	46272259.460481	0	0	0	0	46272259.460481	7311016994.756	0	0	0	0	0	26051282076.2508	2498702010.86598	277633556.762886	1341895524.35395	6987111178.53263	0	0	231361297.302405	925445189.20962	46272259.460481	0	0	0	0	46272259.460481	0	0	92544518.920962	0	2544974270.32646	0	46272259.460481	46272259.460481	277633556.762886	370178075.683848	971717448.670101	0	0	7634922810.97937	0	1989707156.80068	0	0	3007696864.93127	0	0	0	0	0	0	0	0	46272259.460481	0	26421460151.9347	46272259.460481	0	0	185089037.841924	0	2822607827.08934	92544518.920962	0	740356151.367696	0	0	0	0	92544518.920962	46272259.460481	231361297.302405	0	46272259.460481	185089037.841924	601539372.986253	0	0	0	0	0	0	46272259.460481	46272259.460481	0	46272259.460481	0	185089037.841924	46272259.460481	0	46272259.460481	0	0	0	0	323905816.223367	0	0	786628410.828177	0	1943434897.3402	0	4534681427.12714	231361297.302405	0	0	0	0	0	1156806486.51203	46272259.460481	416450335.144329	0	0	0	0	0	0	0	0	46272259.460481	27161816303.3024	0	2498702010.86598	14992212065.1959	0	0	508994854.065291	46272259.460481	0	0	0	0	0	323905816.223367	0	0	0	0	46272259.460481	6107938248.78349	46272259.460481	0	0	0	46272259.460481	231361297.302405	0	46272259.460481	0	46272259.460481	0	0	0	0	0	46272259.460481	92544518.920962	46272259.460481	0	185089037.841924	0	0	0	0	0	0	0	46272259.460481	0	46272259.460481	0	0	185089037.841924	0	462722594.60481	323905816.223367	0	1017989708.13058	0	0	0	0	0	0	0	0	0	0	46272259.460481	0	0	92544518.920962	0	1989707156.80068	185089037.841924	0	0	0	0	0	0	46272259.460481	0	0	0	0	0	0	0	0	0	0	0	19989616086.9278	0	0	0	46272259.460481	0	0	0	0	0	0	0	0	0	46272259.460481	0	0	0	0	0	555267113.525772	0	92544518.920962	0	0	92544518.920962	92544518.920962	0	46272259.460481	0	0	0	138816778.381443	138816778.381443	46272259.460481	0	0	323905816.223367	0	0	0	740356151.367696	508994854.065291	92544518.920962	54925171979.591	0	0	0	138816778.381443	0	0	0	0	0	0	0	46272259.460481	0	0	46272259.460481	0	0	0	0	0	0	0	2452429751.40549	0	0	0	0	0
DC62	0	0	0	0	0	0	0	0	0	324392734.296434	787810926.148482	0	0	0	0	0	0	0	0	0	0	695127287.778073	0	0	0	0	0	1112203660.44492	231709095.926024	1019520022.07451	0	787810926.148482	0	0	46341819.1852048	46341819.1852048	0	0	0	0	0	0	0	0	0	0	278050915.111229	0	0	0	46341819.1852048	46341819.1852048	185367276.740819	0	46341819.1852048	231709095.926024	0	0	0	0	139025457.555615	0	0	0	0	0	0	0	0	0	0	4448814641.77966	0	0	0	0	0	834152745.333687	0	0	0	0	0	0	0	0	0	0	0	0	46341819.1852048	0	0	0	0	0	0	0	0	0	0	0	0	46341819.1852048	0	0	0	0	0	0	0	0	0	0	139025457.555615	0	46341819.1852048	0	0	46341819.1852048	0	0	0	0	0	46341819.1852048	0	0	0	0	0	0	0	0	0	0	139025457.555615	4217105545.85364	0	973178202.889302	648785468.592868	0	0	0	0	0	0	0	0	0	0	0	0	0	46341819.1852048	0	46341819.1852048	0	0	0	0	0	0	0	0	0	46341819.1852048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46341819.1852048	0	0	0	0	0	0	0	0	0	92683638.3704097	0	139025457.555615	0	0	0	0	0	0	0	0	0	0	0	0	0	231709095.926024	0	139025457.555615	0	0	0	0	0	0	0	46341819.1852048	0	0	0	0	0	0	0	0	0	0	0	2873192789.4827	0	0	0	46341819.1852048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46341819.1852048	0	0	0	0	231709095.926024	0	0	0	0	0	0	0	0	0	0	3475636438.89036	0	0	0	0	0	0	0	0	0	0	46341819.1852048	0	0	0	0	0	0	0	0	0	0	0	185367276.740819	0	0	0	0	0
DC63	0	0	0	0	0	0	0	0	0	92624994.9568812	138937492.435322	0	0	0	0	0	0	0	0	0	0	787312457.13349	0	0	0	0	0	1204124934.43946	0	694687462.176609	0	926249949.568812	0	0	46312497.4784406	0	0	46312497.4784406	0	0	0	0	0	0	0	0	0	0	0	0	46312497.4784406	0	416812477.305965	0	46312497.4784406	138937492.435322	0	0	694687462.176609	0	324187482.349084	0	46312497.4784406	0	0	0	0	0	0	0	0	3288187320.96928	0	0	0	0	0	92624994.9568812	0	0	416812477.305965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46312497.4784406	0	46312497.4784406	0	277874984.870644	46312497.4784406	0	0	0	0	0	0	0	7456312094.02894	0	0	0	0	0	0	0	0	0	1018874944.52569	0	0	416812477.305965	0	0	0	0	0	0	0	0	0	92624994.9568812	0	0	0	0	0	370499979.827525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46312497.4784406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46312497.4784406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138937492.435322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1806187401.65918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46312497.4784406	0	0	0	0	0	0	46312497.4784406	92624994.9568812	0	0	0	0	0	0	0	0	0	0	1018874944.52569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46312497.4784406	0	0	0	0	0
DC64	0	0	0	0	46278984.8081762	0	138836954.424529	0	0	2591623149.25787	10412771581.8396	0	0	0	0	0	0	0	0	0	0	8145101326.23901	92557969.6163524	0	0	0	0	8283938280.66354	1064416650.58805	1434648529.05346	277673908.849057	10968119399.5378	0	0	740463756.930819	46278984.8081762	0	0	0	0	46278984.8081762	0	0	0	0	0	231394924.040881	0	46278984.8081762	92557969.6163524	185115939.232705	92557969.6163524	1295811574.62893	0	231394924.040881	416510863.273586	0	92557969.6163524	0	0	1897438377.13522	0	0	0	0	0	0	0	0	0	92557969.6163524	17123224379.0252	0	46278984.8081762	0	0	0	3424644875.80504	0	0	1249532589.82076	0	0	0	0	0	46278984.8081762	0	0	0	46278984.8081762	323952893.657233	0	0	46278984.8081762	46278984.8081762	46278984.8081762	0	0	0	0	46278984.8081762	0	92557969.6163524	0	0	0	0	0	0	0	185115939.232705	0	0	694184772.122643	0	370231878.46541	0	0	231394924.040881	0	0	0	0	0	740463756.930819	0	0	0	0	0	0	46278984.8081762	0	0	0	92557969.6163524	7404637569.30819	0	12726720822.2485	4442782541.58492	0	0	0	231394924.040881	0	0	0	0	0	555347817.698115	370231878.46541	0	0	0	46278984.8081762	0	0	0	0	0	0	323952893.657233	0	0	0	46278984.8081762	0	46278984.8081762	0	0	0	0	0	231394924.040881	0	879300711.355348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138836954.424529	277673908.849057	0	370231878.46541	0	0	0	0	92557969.6163524	0	0	0	0	0	46278984.8081762	0	0	46278984.8081762	0	694184772.122643	46278984.8081762	0	0	0	0	0	0	323952893.657233	0	0	0	0	0	0	0	46278984.8081762	0	0	0	13976253412.0692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46278984.8081762	0	0	0	0	46278984.8081762	0	138836954.424529	0	0	46278984.8081762	92557969.6163524	0	46278984.8081762	0	0	0	277673908.849057	46278984.8081762	0	0	0	0	0	0	0	3563481830.22957	46278984.8081762	231394924.040881	19159499710.5849	0	0	0	0	0	0	0	0	0	0	138836954.424529	0	0	0	0	0	46278984.8081762	0	0	0	0	0	1018137665.77988	0	0	0	0	0
DC65	0	0	0	0	3423964750.98835	0	92539587.86455	0	0	46269793.932275	4118011659.97248	46269793.932275	462697939.32275	0	0	0	0	0	0	0	0	1573172993.69735	46269793.932275	0	0	0	0	3932932484.24338	92539587.86455	694046908.984125	1203014642.23915	5737454447.6021	0	0	462697939.32275	0	0	0	0	0	46269793.932275	46269793.932275	0	0	0	0	694046908.984125	0	0	185079175.7291	277618763.59365	0	8143483732.0804	0	46269793.932275	2498568872.34285	0	1758252169.42645	0	0	3794123102.44655	0	0	0	0	0	0	0	0	0	0	14852603852.2603	0	0	0	0	0	416428145.390475	0	0	786586496.848675	0	0	0	0	370158351.4582	92539587.86455	0	0	0	0	1434363611.90053	0	0	46269793.932275	0	0	0	0	0	46269793.932275	0	1573172993.69735	1295554230.1037	0	46269793.932275	92539587.86455	46269793.932275	0	0	0	0	185079175.7291	0	694046908.984125	0	370158351.4582	0	92539587.86455	786586496.848675	0	0	0	0	0	1897061551.22328	0	879126084.713225	0	0	0	0	46269793.932275	0	0	0	0	8791260847.13225	0	6801659708.04443	6709120120.17988	0	0	647777115.05185	323888557.525925	0	46269793.932275	0	0	0	46269793.932275	0	0	0	0	0	0	0	46269793.932275	0	0	0	0	0	0	0	138809381.796825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46269793.932275	0	0	0	0	92539587.86455	138809381.796825	0	740316702.9164	0	0	0	0	0	0	0	0	0	0	508967733.255025	0	0	370158351.4582	0	694046908.984125	138809381.796825	0	0	0	0	0	0	0	0	0	46269793.932275	0	0	0	0	0	0	0	0	9577847343.98093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46269793.932275	0	0	0	0	0	0	0	0	0	0	46269793.932275	46269793.932275	0	0	0	0	0	0	0	0	46269793.932275	14343636119.0053	0	0	0	46269793.932275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231348969.661375	46269793.932275	0	46269793.932275	0	0
DC66	0	0	0	0	46276525.2083066	0	46276525.2083066	0	0	323935676.458146	2128720159.5821	0	0	0	0	0	0	0	0	0	0	925530504.166131	46276525.2083066	0	0	0	0	2591485411.66517	879253978.957825	3887228117.49775	92553050.4166131	5645736075.4134	0	0	231382626.041533	92553050.4166131	0	0	0	0	0	46276525.2083066	0	0	277659151.249839	0	2360102785.62363	0	0	92553050.4166131	46276525.2083066	92553050.4166131	2684038462.08178	0	46276525.2083066	3424462865.41469	0	92553050.4166131	0	0	694147878.124599	0	0	0	46276525.2083066	0	0	46276525.2083066	0	46276525.2083066	0	22536667776.4453	46276525.2083066	0	0	92553050.4166131	0	1203189655.41597	0	0	323935676.458146	0	0	0	0	1110636604.99936	0	0	0	0	46276525.2083066	46276525.2083066	0	0	92553050.4166131	0	0	0	0	0	0	0	0	3331909814.99807	92553050.4166131	555318302.499679	92553050.4166131	462765252.083066	0	0	0	46276525.2083066	185106100.833226	0	1249466180.62428	0	509041777.291372	0	46276525.2083066	92553050.4166131	46276525.2083066	0	370212201.666452	0	0	925530504.166131	0	647871352.916292	0	0	0	0	0	0	0	0	46276525.2083066	9718070293.74438	0	5275523873.74695	13790404512.0754	0	0	462765252.083066	416488726.874759	0	0	46276525.2083066	0	0	46276525.2083066	0	92553050.4166131	0	92553050.4166131	0	46276525.2083066	0	0	0	0	0	138829575.62492	0	0	46276525.2083066	46276525.2083066	0	0	0	0	0	0	92553050.4166131	0	0	46276525.2083066	0	0	0	0	0	0	0	0	0	46276525.2083066	0	0	740424403.332905	0	555318302.499679	555318302.499679	0	2822868037.7067	0	0	0	0	92553050.4166131	0	0	0	0	0	1156913130.20766	0	0	92553050.4166131	0	971807029.374438	138829575.62492	0	0	0	0	0	0	647871352.916292	0	0	0	0	0	0	46276525.2083066	0	92553050.4166131	0	0	14762211541.4498	0	0	0	879253978.957825	0	0	46276525.2083066	0	0	0	0	0	0	0	46276525.2083066	0	0	0	0	0	0	185106100.833226	0	0	0	46276525.2083066	0	0	0	0	0	1249466180.62428	1804784483.12396	92553050.4166131	0	0	92553050.4166131	0	0	0	555318302.499679	0	0	22120179049.5705	0	0	0	46276525.2083066	0	0	0	0	0	0	647871352.916292	92553050.4166131	0	0	0	0	46276525.2083066	0	0	0	0	0	185106100.833226	0	0	0	0	0
DC67	0	0	0	0	46268699.5442581	0	46268699.5442581	0	0	370149596.354065	1943285380.85884	138806098.632774	0	92537399.0885163	0	0	0	0	0	0	0	7310454527.99278	0	0	0	0	0	3701495963.54065	277612197.265549	3192540268.55381	138806098.632774	3331346367.18659	0	0	138806098.632774	138806098.632774	0	0	0	0	0	0	0	0	0	0	323880896.809807	0	46268699.5442581	92537399.0885163	138806098.632774	277612197.265549	1573135784.50478	0	46268699.5442581	3377615066.73084	0	0	1804479282.22607	0	2128360179.03587	0	0	0	0	0	0	0	0	0	0	17397031028.6411	46268699.5442581	46268699.5442581	0	46268699.5442581	0	2220897578.12439	0	0	370149596.354065	0	0	0	0	138806098.632774	46268699.5442581	92537399.0885163	0	0	0	231343497.721291	0	0	0	0	0	0	0	0	0	0	46268699.5442581	92537399.0885163	0	0	0	0	0	0	0	92537399.0885163	0	0	647761793.619614	0	323880896.809807	0	0	231343497.721291	0	0	0	46268699.5442581	0	0	0	40346306002.5931	0	0	0	0	0	0	0	0	277612197.265549	26743308336.5812	0	4811944752.60285	6338811837.56336	0	0	138806098.632774	138806098.632774	0	0	46268699.5442581	0	0	370149596.354065	0	0	0	0	0	92537399.0885163	0	0	0	0	46268699.5442581	0	0	0	0	0	0	46268699.5442581	0	0	0	0	0	138806098.632774	0	277612197.265549	0	0	46268699.5442581	0	46268699.5442581	0	0	0	0	0	0	0	46268699.5442581	0	46268699.5442581	138806098.632774	0	740299192.70813	0	0	0	0	0	0	0	0	0	0	46268699.5442581	0	0	46268699.5442581	0	2405972376.30142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16425388338.2116	0	0	0	46268699.5442581	0	0	0	0	0	0	0	0	0	0	46268699.5442581	0	0	0	0	46268699.5442581	0	0	0	0	92537399.0885163	92537399.0885163	0	92537399.0885163	0	0	0	370149596.354065	46268699.5442581	0	0	0	92537399.0885163	0	0	0	92537399.0885163	46268699.5442581	92537399.0885163	7264185828.44853	0	0	0	0	0	0	0	0	0	0	416418295.898323	0	0	0	0	0	0	0	0	0	0	0	46268699.5442581	0	0	0	0	0
DC69	0	0	0	0	0	0	92553651.9340388	0	0	0	1434581604.9776	0	0	0	0	0	0	0	0	0	0	1295751127.07654	0	0	0	0	0	5229281334.27319	138830477.901058	1851073038.68078	46276825.9670194	3979807033.16367	0	0	92553651.9340388	46276825.9670194	0	0	0	0	0	0	0	0	0	0	370214607.736155	0	138830477.901058	46276825.9670194	0	185107303.868078	1064366997.24145	0	0	1527135256.91164	0	0	1342027953.04356	0	2452671776.25203	0	0	0	46276825.9670194	0	0	0	0	0	0	3748422903.32857	0	0	0	370214607.736155	0	231384129.835097	0	0	879259693.373369	0	0	0	0	2221287646.41693	0	370214607.736155	185107303.868078	0	46276825.9670194	231384129.835097	0	0	509045085.637213	46276825.9670194	0	0	0	0	0	46276825.9670194	0	0	0	0	0	0	0	0	0	0	46276825.9670194	0	740429215.472311	0	92553651.9340388	0	0	46276825.9670194	0	0	0	0	0	46276825.9670194	0	1156920649.17549	0	0	0	0	46276825.9670194	0	0	0	46276825.9670194	1388304779.01058	0	0	1851073038.68078	0	0	0	92553651.9340388	0	0	0	46276825.9670194	0	92553651.9340388	0	92553651.9340388	0	0	0	46276825.9670194	0	0	46276825.9670194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46276825.9670194	0	0	0	0	0	0	0	0	0	0	0	46276825.9670194	0	0	0	0	0	46276825.9670194	0	416491433.703175	0	0	0	0	92553651.9340388	0	0	0	0	0	46276825.9670194	0	0	0	0	46276825.9670194	0	0	0	0	0	0	0	46276825.9670194	0	0	0	0	0	0	0	0	0	0	0	2961716861.88924	92553651.9340388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92553651.9340388	185107303.868078	0	0	0	0	0	0	0	0	0	231384129.835097	7219184850.85503	0	46276825.9670194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185107303.868078	0	0	0	0	0
DC70	0	0	0	0	0	0	0	0	0	0	694926884.162348	0	0	0	0	0	0	0	0	0	0	185313835.776626	0	0	0	0	0	1111883014.65976	231642294.720783	231642294.720783	0	1853138357.76626	0	0	46328458.9441565	0	0	0	0	0	0	0	0	0	0	0	46328458.9441565	0	0	92656917.888313	46328458.9441565	0	231642294.720783	0	0	463284589.441565	0	0	370627671.553252	0	880240719.938974	0	0	0	0	0	0	0	0	46328458.9441565	0	7644195725.78583	0	0	0	0	0	138985376.83247	0	0	370627671.553252	0	0	0	0	602269966.274035	0	0	0	0	0	46328458.9441565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231642294.720783	0	46328458.9441565	0	0	0	0	0	0	0	0	0	0	1019226096.77144	0	0	0	0	0	0	0	0	46328458.9441565	2316422947.20783	0	231642294.720783	1389853768.3247	0	0	0	0	0	0	0	0	0	92656917.888313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46328458.9441565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	555941507.329878	0	0	0	0	0	0	0	0	0	0	92656917.888313	0	0	0	0	46328458.9441565	46328458.9441565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2779707536.64939	0	0	0	0	0	0	0	0	0	46328458.9441565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92656917.888313	46328458.9441565	0	0	0	0	0	0	0	0	0	0	3613619797.64421	0	0	0	0	0	0	0	0	0	0	694926884.162348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
