"feature"	"metadata"	"value"	"coef"	"pval"	"qval"	"association"
"bac16SV4_L100_Nextseq_04412"	"day"	"day"	-0.142039583655871	1.08621818225278e-05	0.000140099977792603	"abundance"
"bac16SV4_L100_Nextseq_05802"	"day"	"day"	-0.153150867704382	1.20807716610591e-05	0.000154243387672512	"abundance"
"bac16SV4_L100_Nextseq_00007"	"day"	"day"	0.611140972632681	1.41871169119226e-05	0.000177843276040104	"abundance"
"bac16SV4_L100_Nextseq_05434"	"day"	"day"	-0.186929718678754	1.42105782278881e-05	0.000177843276040104	"abundance"
"bac16SV4_L100_Nextseq_04792"	"day"	"day"	-0.157425226486502	1.61958983030509e-05	0.000200702112304474	"abundance"
"bac16SV4_L100_Nextseq_07124"	"day"	"day"	-0.110782406764124	2.87840517780238e-05	0.000353233412110894	"abundance"
"bac16SV4_L100_Nextseq_05164"	"day"	"day"	-0.0919274908497364	3.5618842683494e-05	0.000432905934153234	"abundance"
"bac16SV4_L100_Nextseq_00017"	"day"	"day"	0.273693556274185	4.02537540861814e-05	0.000484578525380317	"abundance"
"bac16SV4_L100_Nextseq_00022"	"day"	"day"	0.263906061966454	4.16335388173555e-05	0.000496460311935258	"abundance"
"bac16SV4_L100_Nextseq_00003"	"read_depth"	"read_depth"	0.600780516444518	4.28315711599025e-05	0.000501288018019599	"abundance"
"bac16SV4_L100_Nextseq_07057"	"day"	"day"	-0.0853672068975783	4.25587504909669e-05	0.000501288018019599	"abundance"
"bac16SV4_L100_Nextseq_00064"	"day"	"day"	0.312900441698578	5.21856849011912e-05	0.000605162437753264	"abundance"
"bac16SV4_L100_Nextseq_03274"	"read_depth"	"read_depth"	-0.00614334746124764	6.20128350719516e-05	0.000675726065314474	"abundance"
"bac16SV4_L100_Nextseq_05074"	"read_depth"	"read_depth"	-0.00614334746107445	6.20128351013925e-05	0.000675726065314474	"abundance"
"bac16SV4_L100_Nextseq_05102"	"read_depth"	"read_depth"	-0.00614334746107445	6.20128351013925e-05	0.000675726065314474	"abundance"
"bac16SV4_L100_Nextseq_07757"	"read_depth"	"read_depth"	-0.00614334746132592	6.20128350623482e-05	0.000675726065314474	"abundance"
"bac16SV4_L100_Nextseq_08142"	"read_depth"	"read_depth"	-0.00614334746116902	6.20128350818272e-05	0.000675726065314474	"abundance"
"bac16SV4_L100_Nextseq_10133"	"read_depth"	"read_depth"	-0.00614334746123233	6.20128350781203e-05	0.000675726065314474	"abundance"
"bac16SV4_L100_Nextseq_14914"	"read_depth"	"read_depth"	-0.00614334746104366	6.20128351079739e-05	0.000675726065314474	"abundance"
"bac16SV4_L100_Nextseq_00019"	"day"	"day"	0.346408943690119	6.34939222550857e-05	0.000685951433593404	"abundance"
"bac16SV4_L100_Nextseq_04830"	"day"	"day"	-0.128571830686867	6.77434317800881e-05	0.000725658455678232	"abundance"
"bac16SV4_L100_Nextseq_00207"	"day"	"day"	0.219316219434802	7.1797882481902e-05	0.000762626247538858	"abundance"
"bac16SV4_L100_Nextseq_00088"	"day"	"day"	0.247856211623526	7.33008799449425e-05	0.000772102602086727	"abundance"
"bac16SV4_L100_Nextseq_00060"	"day"	"day"	0.319787982891829	8.20820475135011e-05	0.000848734919095327	"abundance"
"bac16SV4_L100_Nextseq_00107"	"day"	"day"	0.247541168269116	8.20077198025636e-05	0.000848734919095327	"abundance"
"bac16SV4_L100_Nextseq_05547"	"day"	"day"	-0.133242964853876	8.25905024119662e-05	0.000848734919095327	"abundance"
"bac16SV4_L100_Nextseq_09920"	"day"	"day"	-0.0777308884720187	8.39710612536394e-05	0.00085596307600484	"abundance"
"bac16SV4_L100_Nextseq_04384"	"day"	"day"	-0.142576657386045	8.9679628146574e-05	0.000906840399818156	"abundance"
"bac16SV4_L100_Nextseq_12655"	"day"	"day"	-0.089832187737047	9.22038164282363e-05	0.000924965269565799	"abundance"
"bac16SV4_L100_Nextseq_03521"	"read_depth"	"read_depth"	-0.0274527191075082	9.57771507313824e-05	0.000953246602554861	"abundance"
