"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"association"
"D_0__Bacteria.D_1__Bacteroidetes.D_2__Bacteroidia.D_3__Bacteroidales.D_4__Rikenellaceae.D_5__Alistipes"	"Day"	"Day"	-0.226342321092968	0.0107548537668591	NA	0.0537742688342955	0.0107548537668591	0.0525237044428002	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Ruminococcaceae.D_5__Ruminiclostridium.5"	"Diet"	"Keto"	-1.33841417556675	0.00560753910655094	NA	0.035213035193314	0.0111836337182704	0.0533764336553814	"abundance"
"D_0__Bacteria.D_1__Bacteroidetes.D_2__Bacteroidia.D_3__Bacteroidales.D_4__Tannerellaceae.D_5__Parabacteroides"	"Day"	"Day"	0.0096542740836301	0.00626292472546965	NA	0.035213035193314	0.0124866252248224	0.0570041586350588	"abundance"
"D_0__Bacteria.D_1__Bacteroidetes.D_2__Bacteroidia.D_3__Bacteroidales.D_4__Marinifilaceae.D_5__Butyricimonas"	"Diet"	"Keto"	-1.1074249888602	0.0131440338092032	NA	0.0567583278124685	0.0131440338092032	0.0587286617006953	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Ruminococcaceae.D_5__Butyricicoccus"	"Day"	"Day"	-1.70729484111915	0.045444087962709	NA	0.149069823714422	0.0142047721384343	0.0621458781056501	"abundance"
"D_0__Bacteria.D_1__Bacteroidetes.D_2__Bacteroidia.D_3__Bacteroidales.D_4__Muribaculaceae.D_5__uncultured.Bacteroidales.bacterium"	"Diet"	"Keto"	0.817031121502727	0.0165445204848239	NA	0.0668821040875861	0.0165445204848239	0.0694869860362605	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Lachnospiraceae.D_5__.Eubacterium..xylanophilum.group"	"Day"	"Day"	-1.28352997423806	0.0164254677905184	NA	0.0668821040875861	0.0164254677905184	0.0694869860362605	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Ruminococcaceae.D_5__Intestinimonas"	"Day"	"Day"	-1.30109369027	0.2880532621986	NA	0.55847061038504	0.017991035792886	0.0740807356177658	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Ruminococcaceae.D_5__Harryflintia"	"Day"	"Day"	0.277812778847731	0.00976022214384573	NA	0.0515122835369636	0.0194251823513942	0.0784478518037075	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Ruminococcaceae.D_5__Negativibacillus"	"Day"	"Day"	-0.136468681197228	0.374345261717796	NA	0.659751531328887	0.0218154616645608	0.0864386216897692	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Ruminococcaceae.D_5__Candidatus.Soleaferrea"	"Diet"	"Keto"	0.894009463379417	0.012319352764119	NA	0.0563887873841296	0.0244869390757112	0.0902150386999887	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Ruminococcaceae.D_5__Ruminococcaceae.UCG.005"	"Day"	"Day"	-0.0481605515715147	0.0121306736966854	NA	0.0563887873841296	0.0241141941490353	0.0902150386999887	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Erysipelotrichia.D_3__Erysipelotrichales.D_4__Erysipelotrichaceae.D_5__Turicibacter"	"Day"	"Day"	2.70653073649961	0.0238380992420802	NA	0.092433446040719	0.0238380992420802	0.0902150386999887	"abundance"
"D_0__Bacteria.D_1__Tenericutes.D_2__Mollicutes.D_3__Mollicutes.RF39.D_4__uncultured.bacterium.D_5__uncultured.bacterium"	"Day"	"Day"	-1.54772378063253	0.0123083211497555	NA	0.0563887873841296	0.0244651475299854	0.0902150386999887	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Ruminococcaceae.D_5__Ruminiclostridium"	"Day"	"Day"	0.0320664810998888	0.0252868365751935	NA	0.0942569060863265	0.0252868365751935	0.0915557875998385	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Bacilli.D_3__Lactobacillales.D_4__Enterococcaceae.D_5__Enterococcus"	"Day"	"Day"	0.875022267642267	0.0131318851675819	NA	0.0567583278124685	0.0260913239271092	0.092867424147338	"abundance"
"D_0__Bacteria.D_1__Deferribacteres.D_2__Deferribacteres.D_3__Deferribacterales.D_4__Deferribacteraceae.D_5__Mucispirillum"	"Diet"	"Keto"	-2.00592770378634	0.0290812885167293	NA	0.106258554195742	0.0290812885167293	0.101784509808552	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Lachnospiraceae.D_5__A2"	"Day"	"Day"	0.063742563476973	0.0313142543252653	NA	0.11225864758114	0.0313142543252653	0.107803170627962	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Peptococcaceae.D_5__Peptococcus"	"Day"	"Day"	0.0167727245755715	0.0165221723967635	NA	0.0668821040875861	0.0327713626128186	0.110999776591805	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Eubacteriaceae.D_5__Anaerofustis"	"Day"	"Day"	-0.896925291466019	0.302899725540551	NA	0.575509478527047	0.033753599491106	0.112511998303687	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Ruminococcaceae.D_5__Ruminococcaceae.UCG.014"	"Day"	"Day"	-1.03112115909972	0.0344852594790861	NA	0.121337024093081	0.0344852594790861	0.113154757665751	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Ruminococcaceae.D_5__Ruminiclostridium.1"	"Diet"	"Keto"	-0.928825505048866	0.62151813302259	NA	0.915414304451877	0.0364980612764756	0.117916813354767	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Lachnospiraceae.D_5__Lachnoclostridium"	"Day"	"Day"	-1.2222489744698	0.0385302736624158	NA	0.133104581742891	0.0385302736624158	0.121785279312204	"abundance"
"D_0__Bacteria.D_1__Tenericutes.D_2__Mollicutes.D_3__Mollicutes.RF39.__.__"	"Diet"	"Keto"	-1.75237424262777	0.0196201263793753	NA	0.0776630002516937	0.0388553033996079	0.121785279312204	"abundance"
